Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
Lebanon, 1900, 39, 279.369571683806, 5.7344280503518075, 0, 6801027
Morocco, 364, 1, 9.769691074047897, 0.026839810642988727, 6.215846994535519, 37258087
UAE, 1930, 4, 193.28377924468705, 0.40058814351230476, 0.9491165347902847, 9985318
Saudi Arabia, 916, 13, 25.990298468501802, 0.3688579476970779, 1.7881893606637385, 35243920
Bulgaria, 418, 57, 60.5216444512656, 8.252951516081673, 9.004739336492891, 6906620
Slovakia, 638, 63, 116.81235559804905, 11.534762386641207, 3.740399835844521, 5461751
Malaysia, 2195, 8, 67.13506244096052, 0.24468359887366023, 3.5675974384812923, 32695285
Panama, 244, 1, 55.852635111301254, 0.22890424225943137, 4.005252790544977, 4368639
Ecuador, 2389, 62, 133.79564236161576, 3.4723021458435226, 73.32719459791282, 17855589
Belarus, 1300, 10, 137.61211020443548, 1.058554693880273, 6.655403675830645, 9446843
Greece, 1829, 65, 176.16391469544158, 6.260609324879006, 7.266875918788987, 10382376
Croatia, 1565, 39, 383.10593405388255, 9.547048835847553, 20.76974120769741, 4085032
Azerbaijan, 2144, 33, 209.95214285833194, 3.2315395122784305, 17.596848325673015, 10211851
Georgia, 818, 14, 205.3699986568099, 3.5148899525615387, 4.3459781107214965, 3983055
Bolivia, 1185, 9, 100.42869067175099, 0.7627495494057037, 0, 11799417
Kazakhstan, 2828, 20, 149.19460500068874, 1.055124504955366, 4.748472026328162, 18955109
Tunisia, 1514, 66, 127.04638879870424, 5.5383498419514385, 31.887110362257793, 11916907
Nepal, 1015, 8, 34.34614764979125, 0.27070855290475865, 19.964594807238395, 29552077
Palestine, 988, 34, 190.17624217520043, 6.544526552587869, 10.980217826183598, 5195181
Dominican Republic, 502, 4, 45.91022648465853, 0.3658185377263628, 14.936030943171675, 10934383
Kuwait, 1127, 8, 260.8383905970422, 1.8515591169266525, 17.97734885946722, 4320683
Paraguay, 1801, 62, 250.06515439961245, 8.608572777776775, 29.40888308295232, 7202123
Moldova, 403, 23, 100.08747098580945, 5.712188170405997, 13.801369863013699, 4026478
Ireland, 270, 1, 54.19932343185298, 0.20073823493278883, 0, 4981612
Denmark, 902, 3, 155.29089151777737, 0.5164885527198804, 0.30057749534304823, 5808454
Ethiopia, 1792, 42, 15.288308491310815, 0.3583197302650972, 24.50765864332604, 117213752
Lithuania, 726, 6, 269.7021908287881, 2.228943725857753, 5.219641958444172, 2691858
Slovenia, 478, 6, 229.89987331458863, 2.885772468383958, 18.244274809160306, 2079166
Costa Rica, None, None, 0, 0, 0, 5131107
Egypt, 850, 44, 8.183832997738412, 0.42363370811822365, 0, 103863312
Guatemala, 427, 31, 23.489772652007435, 1.7053464923003057, 15.266356810868789, 18178124
